regcode;sepa;name;name_before_quotes;name_in_quotes;name_after_quotes;without_quotes;regtype;regtype_text;type;type_text;registered;terminated;closed;address;index;addressid;region;city;atvk;reregistration_term
40003017371;LV75ZZZ40003017371;"SIA ""LĪVA SIGULDĀ""";SIA;LĪVA SIGULDĀ;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;1991-08-27;2017-05-17;L;Siguldas nov., Sigulda, Krišjāņa Barona iela 29A;2150;103724298;100015380;100003591;0801615;
50002128351;LV30ZZZ50002128351;"IK ""Amarana Design""";IK;Amarana Design;"";0;K;Komercreģistrs;IK;Individuālais komersants;2007-06-07;; ;Rīga, Putnu iela 27 - 1;1058;113450550;0;100003003;0010000;
40103146791;LV10ZZZ40103146791;"Sabiedrība ar ierobežotu atbildību ""JU VATO""";Sabiedrība ar ierobežotu atbildību;JU VATO;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;1994-12-20;2015-02-12;L;Rīga, Kalmju iela 1;1023;102673233;0;100003003;0010000;
50002142711;LV19ZZZ50002142711;IK ARDIKO;IK;ARDIKO;"";1;K;Komercreģistrs;IK;Individuālais komersants;2008-12-15;; ;Rīga, Kalsnavas iela 2C - 1;1035;112594917;0;100003003;0010000;
40103469068;;"SIA ""POZITEL""";SIA;POZITEL;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2011-10-13;2013-12-12;L;Rīga, Pulkveža Brieža iela 8-1;1010;113128623;0;100003003;0010000;
50008225561;LV74ZZZ50008225561;"""ŠKUTĀNA DEJU SKOLA""";"";ŠKUTĀNA DEJU SKOLA;"";0;B;Biedrību un nodibinājumu reģistrs;BDR;Biedrība;2014-06-18;; ;Salaspils nov., Salaspils, Līvzemes iela 5;2169;101275060;100015485;100003575;0801211;
40103688215;LV44ZZZ40103688215;"Sabiedrība ar ierobežotu atbildību ""ORGI""";Sabiedrība ar ierobežotu atbildību;ORGI;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2013-07-04;2015-12-01;L;Rīga, Andrejostas iela 4;1045;101815215;0;100003003;0010000;
40008202054;LV57ZZZ40008202054;"""Studio Legis""";"";Studio Legis;"";0;B;Biedrību un nodibinājumu reģistrs;BDR;Biedrība;2012-11-28;; ;Rīga, Bauskas iela 207 - 26;1076;111902440;0;100003003;0010000;
40008244626;LV63ZZZ40008244626;BASE;"";BASE;"";1;B;Biedrību un nodibinājumu reģistrs;BDR;Biedrība;2015-11-20;; ;Rīga, Strēlnieku iela 4A;1010;102000970;0;100003003;0010000;
50103646571;LV43ZZZ50103646571;"SIA ""S REZ""";SIA;S REZ;"";0;K;Komercreģistrs;SIA;Sabiedrība ar ierobežotu atbildību;2013-03-11;2019-01-14;L;Rīga, Slokas iela 77 - 2A;1007;117501392;0;100003003;0010000;
